,name,year,artists
76905,Llora Tu Propio Dolor - Remasterizado,1926,['Ignacio Corsini']
76904,Часть 49.4 & Часть 50.1 - Фиеста,1926,['Эрнест Хемингуэй']
76903,Pregunta y respuesta,1926,['Iván Rolón']
76902,Часть 8.5 & Часть 9.1 - Фиеста,1926,['Эрнест Хемингуэй']
76898,Kapitel 189 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76897,Kapitel 430 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58573,"Cuatro melodías al unísono, No. II",1926,['Iván Rolón']
76948,Kapitel 438 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76949,Часть 25.2 - Фиеста,1926,['Эрнест Хемингуэй']
76951,Mais Qu'est Ce Que J'ai,1926,['Marie Dubas']
76992,Kapitel 208 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76991,Kapitel 385 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76989,Часть 59.2 - Фиеста,1926,['Эрнест Хемингуэй']
76988,Часть 4.2 - Фиеста,1926,['Эрнест Хемингуэй']
76986,El Barrio Está Triste - Remasterizado,1926,['Ignacio Corsini']
76984,Kapitel 151 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76982,Часть 52.5 & Часть 53.1 - Фиеста,1926,['Эрнест Хемингуэй']
76981,Kapitel 314 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76980,"Cuatro melodías al unísono, No. I",1926,['Iván Rolón']
76978,Часть 25.3 - Фиеста,1926,['Эрнест Хемингуэй']
76977,Kapitel 226 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76976,Часть 82.3 - Фиеста,1926,['Эрнест Хемингуэй']
76975,Часть 50.2 - Фиеста,1926,['Эрнест Хемингуэй']
76974,Часть 2.4 & Часть 3.1 - Фиеста,1926,['Эрнест Хемингуэй']
76973,La Valse Des Coups De Pied Au Boum,1926,['Fréhel']
76972,Часть 31.4 & Часть 32.1 - Фиеста,1926,['Эрнест Хемингуэй']
76970,Kapitel 220 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76969,Kapitel 272 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76968,Kapitel 431 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76966,Часть 64.3 & Часть 65.1 - Фиеста,1926,['Эрнест Хемингуэй']
76965,Часть 27.2 - Фиеста,1926,['Эрнест Хемингуэй']
76964,Kapitel 390 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76962,Часть 15.4 - Фиеста,1926,['Эрнест Хемингуэй']
76961,Часть 38.4 & Часть 39.1 - Фиеста,1926,['Эрнест Хемингуэй']
76959,Kapitel 96 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76955,Часть 12.3 - Фиеста,1926,['Эрнест Хемингуэй']
76953,Часть 14.3 - Фиеста,1926,['Эрнест Хемингуэй']
76896,Kapitel 128 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76806,Часть 47.5 & Часть 48.1 - Фиеста,1926,['Эрнест Хемингуэй']
76895,Часть 51.4 & Часть 52.1 - Фиеста,1926,['Эрнест Хемингуэй']
76892,Часть 10.2 - Фиеста,1926,['Эрнест Хемингуэй']
76842,Kapitel 157 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76841,Kapitel 331 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76840,Saturday Night Black Marier Riders,1926,['Reverend J.M. Gates']
76839,Часть 23.2 - Фиеста,1926,['Эрнест Хемингуэй']
76838,Kapitel 59 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76836,Kapitel 73 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76835,Kapitel 57 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76834,Часть 77.5 & Часть 78.1 - Фиеста,1926,['Эрнест Хемингуэй']
76833,Kapitel 113 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76832,Часть 36.4 & Часть 37.1 - Фиеста,1926,['Эрнест Хемингуэй']
76831,Kapitel 135 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76830,Pay Your Policy Man,1926,['Reverend J.M. Gates']
76843,Kapitel 77 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76829,Часть 37.3 - Фиеста,1926,['Эрнест Хемингуэй']
76823,No Room In The Jailhouse,1926,['Reverend J.M. Gates']
76822,Kapitel 269 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76821,Kapitel 90 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76820,Часть 73.4 & Часть 74.1 - Фиеста,1926,['Эрнест Хемингуэй']
76819,Kapitel 282 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76818,Valentina - Remasterizado,1926,"['Francisco Canaro', 'Azucena Maizani']"
76817,Kapitel 309 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76815,Часть 85.4 - Фиеста,1926,['Эрнест Хемингуэй']
76814,Kapitel 233 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76813,Kapitel 369 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76809,Imitación en espejo,1926,['Iván Rolón']
76808,Y S'retourne Sur Toutes Les Femmes,1926,['Georgius']
76825,Kapitel 110 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76844,Kapitel 442 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76847,La Nieve - Remasterizado,1926,['Francisco Canaro']
